"Filename","PatternExtracted","Stade","Sex","Identifiant"
"Bascha_P01_T03_K11_M_Adult_216_20190516201914.jpg","Remy\2_8_st.jpg","adulte","M","KM00002"
"Bascha_P01_T02_K13_M_Adult_756_20190531122452.jpg","Remy\2_9_st.jpg","adulte","M","KM00002"
"Bascha_P01_T05_K07_M_20190420045258-16.jpg","Remy\2_6_st.jpg","adulte","M","KM00002"
"Bascha_P01_T05_K10_M_20190508211315-14.jpg","Remy\4_7_st.jpg","adulte","M","KM00004"
"Bascha_P01_T05_K10_M_20190509095152-03.jpg","Remy\4_8_st.jpg","adulte","M","KM00004"
"Bascha_P01_T03_K15_M_Adult_1228_20190613062504.jpg","Nathan\4_11_st.jpg","adulte","M","KM00004"
"Bascha_P01_T05_K15_M_Adult_1479_20190614184257.jpg","Nathan\4_12_st.jpg","adulte","M","KM00004"
"Bascha_P01_T01_K15_M_Adult_1208_20190615043125.jpg","Nathan\6_4_st.jpg","adulte","M","KM00006"
"Bascha_P01_T04_K12_F_Adult_620_20190523152843.jpg","Remy\9_6_st.jpg","adulte","F","KM00009"
"Bascha_P01_T05_K06_F_20190411001724-08.jpg","Remy\9_5_st.jpg","adulte","F","KM00009"
"Bascha_P01_T01_K05_F_Adult_4447_20190402133846.jpg","Nathan\9_7_st.jpg","adulte","F","KM00009"
"Bascha_P01_T01_K05_F_Adult_4595_20190403115136.jpg","Nathan\9_8_st.jpg","adulte","F","KM00009"
"Bascha_P01_T06_K11_F_Adult_408_20190517201422.jpg","Remy\11_4_st.jpg","adulte","F","KM00011"
"Bascha_P01_T05_K07_F_20190417210652-14.jpg","Remy\11_3_st.jpg","adulte","F","KM00011"
"Bascha_P01_T06_K13_F_Adult_1001_20190530233135.jpg","Remy\12_3_st.jpg","adulte","F","KM00012"
"Bascha_P01_T04_K11_M_Adult_316_20190518005600.jpg","Remy\13_5_st.jpg","adulte","M","KM00013"
"Bascha_P01_T05_K07_M_20190420011421-26.jpg","Remy\13_3_st.jpg","adulte","M","KM00013"
"Bascha_P01_T03_K08_F_20190425130354-14.jpg","Remy\14_7_st.jpg","adulte","F","KM00014"
"Bascha_P01_T04_K09_F_20190505030926-00.jpg","Remy\14_8_st.jpg","adulte","F","KM00014"
"Bascha_P01_T06_K09_F_20190502012409-15.jpg","Remy\14_9_st.jpg","adulte","F","KM00014"
"Bascha_P01_T02_K05_F_Adult_4669_20190316175552.jpg","Nathan\14_11_st.jpg","adulte","F","KM00014"
"Bascha_P01_T02_K11_F_Adult_181_20190517203020.jpg","Remy\15_2_st.jpg","adulte","F","KM00015"
"Bascha_P01_T06_K10_F_20190509163407-19.jpg","Remy\17_9_st.jpg","adulte","F","KM00017"
"Bascha_P01_T05_K10_M_20190509055158-13.jpg","Remy\18_3_st.jpg","adulte","M","KM00018"
"Bascha_P01_T05_K07_M_20190417223100-13.jpg","Remy\19_7_st.jpg","adulte","M","KM00019"
"Bascha_P01_T05_K07_M_20190417223118-20.jpg","Remy\19_8_st.jpg","adulte","M","KM00019"
"Bascha_P01_T01_K10_M_20190508203944-04.jpg","Remy\20_5_st.jpg","adulte","M","KM00020"
"Bascha_P01_T04_K05_M_Adult_5635_20190502175655.jpg","Nathan\20_6_st.jpg","adulte","M","KM00020"
"Bascha_P01_T04_K06_M_20190413013509-18.jpg","Remy\21_3_st.jpg","adulte","M","KM00021"
"Bascha_P01_T05_K12_M_Adult_661_20190525112629.jpg","Remy\22_6_st.jpg","adulte","M","KM00022"
"Bascha_P01_T06_K13_M_Adult_1010_20190602005147.jpg","Remy\22_7_st.jpg","adulte","M","KM00022"
"Bascha_P01_T06_K13_M_Adult_1015_20190603035038.jpg","Remy\22_9_st.jpg","adulte","M","KM00022"
"Bascha_P01_T06_K13_M_Adult_985_20190529181155.jpg","Remy\22_8_st.jpg","adulte","M","KM00022"
"Bascha_P01_T05_K07_M_20190419033503-15.jpg","Remy\22_3_st.jpg","adulte","M","KM00022"
"Bascha_P01_T05_K07_M_20190422004601-21.jpg","Remy\22_4_st.jpg","adulte","M","KM00022"
"Bascha_P01_T05_K15_M_Adult_1436_20190613065345.jpg","Nathan\22_11_st.jpg","adulte","M","KM00022"
"Bascha_P01_T02_K09_M_20190425045232-14.jpg","Remy\23_2_st.jpg","adulte","M","KM00023"
"Bascha_P01_T02_K09_M_20190426221635-01.jpg","Remy\23_3_st.jpg","adulte","M","KM00023"
"Bascha_P01_T06_K07_M_20190413224803-11.jpg","Remy\23_4_st.jpg","adulte","M","KM00023"
"Bascha_P01_T01_K04_M_Adult_4160_20190329222943.jpg","Nathan\23_11_st.jpg","adulte","M","KM00023"
"Bascha_P01_T01_K04_M_Adult_4244_20190330210057.jpg","Nathan\23_12_st.jpg","adulte","M","KM00023"
"Bascha_P01_T04_K14_M_Adult_1114_20190606070945.jpg","Nathan\23_7_st.jpg","adulte","M","KM00023"
"Bascha_P01_T05_K16_M_Adult_10841_20190622181609.jpg","Nathan\23_8_st.jpg","adulte","M","KM00023"
"Bascha_P01_T04_K17_M_Adult_9417_20190627002451.jpg","Nathan\23_9_st.jpg","adulte","M","KM00023"
"Bascha_P01_T04_K08_M_20190426163635-08.jpg","Remy\24_2_st.jpg","adulte","M","KM00024"
"Bascha_P01_T06_K12_M_Adult_689_20190523085405.jpg","Remy\25_5_st.jpg","adulte","M","KM00025"
"Bascha_P01_T04_K13_M_Adult_928_20190529202600.jpg","Remy\25_6_st.jpg","adulte","M","KM00025"
"Bascha_P01_T05_K08_M_20190425020454-07.jpg","Remy\25_2_st.jpg","adulte","M","KM00025"
"Bascha_P01_T02_K13_M_Adult_830_20190603085130.jpg","Remy\26_4_st.jpg","adulte","M","KM00026"
"Bascha_P01_T03_K14_M_Adult_1096_20190607214904.jpg","Nathan\26_7_st.jpg","adulte","M","KM00026"
"Bascha_P01_T03_K14_M_Adult_1103_20190608045554.jpg","Nathan\26_8_st.jpg","adulte","M","KM00026"
"Bascha_P01_T02_K11_F_Adult_134_20190516050545.jpg","Remy\29_4_st.jpg","adulte","F","KM00029"
"Bascha_P01_T06_K07_F_20190414214427-13.jpg","Remy\29_3_st.jpg","adulte","F","KM00029"
"Bascha_P01_T02_K05_F_Adult_4675_20190316194214.jpg","Nathan\29_5_st.jpg","adulte","F","KM00029"
"Bascha_P01_T02_K05_F_Adult_4757_20190318192122.jpg","Nathan\29_6_st.jpg","adulte","F","KM00029"
"Bascha_P01_T06_K11_M_Adult_370_20190516115119.jpg","Remy\32_9_st.jpg","adulte","M","KM00032"
"Bascha_P01_T05_K10_M_20190509062018-08.jpg","Remy\32_7_st.jpg","adulte","M","KM00032"
"Bascha_P01_T02_K05_M_Adult_4721_20190317182937.jpg","Nathan\32_10_st.jpg","adulte","M","KM00032"
"Bascha_P01_T03_K11_F_Adult_201_20190515174458.jpg","Remy\34_5_st.jpg","adulte","F","KM00034"
"Bascha_P01_T04_K05_F_Adult_4814_20190430224951.jpg","Nathan\35_3_st.jpg","adulte","F","KM00035"
"Bascha_P01_T04_K05_F_Adult_4869_20190501172302.jpg","Nathan\35_4_st.jpg","adulte","F","KM00035"
"Bascha_P01_T04_K05_F_Adult_4827_20190501021220.jpg","Nathan\36_10_st.jpg","adulte","F","KM00036"
"Bascha_P01_T01_K14_M_Adult_1029_20190606023959.jpg","Remy\37_11_st.jpg","adulte","M","KM00037"
"Bascha_P01_T04_K07_M_20190420081827-15.jpg","Remy\37_7_st.jpg","adulte","M","KM00037"
"Bascha_P01_T04_K09_M_20190503210706-12.jpg","Remy\37_8_st.jpg","adulte","M","KM00037"
"Bascha_P01_T04_K09_M_20190504011602-15.jpg","Remy\37_9_st.jpg","adulte","M","KM00037"
"Bascha_P01_T06_K09_M_20190501030835-04.jpg","Remy\37_6_st.jpg","adulte","M","KM00037"
"Bascha_P01_T04_K05_M_Adult_4861_20190501092228.jpg","Nathan\37_14_st.jpg","adulte","M","KM00037"
"Bascha_P01_T04_K05_M_Adult_5665_20190502224925.jpg","Nathan\37_15_st.jpg","adulte","M","KM00037"
"Bascha_P01_T06_K15_M_Adult_1527_20190613195419.jpg","Nathan\37_13_st.jpg","adulte","M","KM00037"
"Bascha_P01_T05_K11_M_Adult_455_20190517194850.jpg","Remy\38_22_st.jpg","adulte","M","KM00038"
"Bascha_P01_T06_K13_M_Adult_998_20190530173210.jpg","Remy\38_23_st.jpg","adulte","M","KM00038"
"Bascha_P01_T03_K09_M_20190501171342-04.jpg","Remy\38_17_st.jpg","adulte","M","KM00038"
"Bascha_P01_T05_K08_M_20190426204226-04.jpg","Remy\38_18_st.jpg","adulte","M","KM00038"
"Bascha_P01_T06_K09_M_20190430213629-02.jpg","Remy\38_19_st.jpg","adulte","M","KM00038"
"Bascha_P01_T06_K09_M_20190501020440-03.jpg","Remy\38_20_st.jpg","adulte","M","KM00038"
"Bascha_P01_T04_K05_M_Adult_4806_20190430210246.jpg","Nathan\38_27_st.jpg","adulte","M","KM00038"
"Bascha_P01_T02_K15_M_Adult_1334_20190613175606.jpg","Nathan\38_25_st.jpg","adulte","M","KM00038"
"Bascha_P01_T02_K16_M_Adult_1907_20190620233046.jpg","Nathan\38_26_st.jpg","adulte","M","KM00038"
"Bascha_P01_T04_K07_F_20190419170834-17.jpg","Remy\39_7_st.jpg","adulte","F","KM00039"
"Bascha_P01_T03_K07_F_20190418202224-02.jpg","Remy\40_2_st.jpg","adulte","F","KM00040"
"Bascha_P01_T03_K07_F_20190420203823-09.jpg","Remy\40_3_st.jpg","adulte","F","KM00040"
"Bascha_P01_T01_K04_F_Adult_4173_20190330031615.jpg","Nathan\41_3_st.jpg","adulte","F","KM00041"
"Bascha_P01_T02_K11_F_Adult_176_20190517180151.jpg","Remy\42_6_st.jpg","adulte","F","KM00042"
"Bascha_P01_T02_K12_F_Adult_541_20190522213631.jpg","Remy\42_7_st.jpg","adulte","F","KM00042"
"Bascha_P01_T03_K07_F_20190420015949-07.jpg","Remy\43_2_st.jpg","adulte","F","KM00043"
"Bascha_P01_T06_K11_M_Adult_405_20190517175348.jpg","Remy\45_6_st.jpg","adulte","M","KM00045"
"Bascha_P01_T01_K13_M_Adult_717_20190601013449.jpg","Remy\45_7_st.jpg","adulte","M","KM00045"
"Bascha_P01_T03_K14_M_Adult_1102_20190608034728.jpg","Nathan\45_10_st.jpg","adulte","M","KM00045"
"Bascha_P01_T06_K15_M_Adult_1538_20190614075255.jpg","Nathan\45_11_st.jpg","adulte","M","KM00045"
